,accuracy,precision,recall,f1
D-Tree,0.7782608695652173,0.7784507396332266,0.7782608695652173,0.7783410584435413
RF,0.8956521739130435,0.8956521739130435,0.8956521739130435,0.8956521739130435
GNB,0.8217391304347826,0.8216823737493729,0.8217391304347826,0.8216951830166728
KNN,0.6434782608695652,0.6434782608695652,0.6434782608695652,0.6434782608695652
Ada,0.8608695652173913,0.8615070143289552,0.8608695652173913,0.8611216131064903
LinearDA,0.808695652173913,0.808695652173913,0.808695652173913,0.808695652173913
QuadraticDA,0.8173913043478261,0.8215891146436467,0.8173913043478261,0.8179463038027374
SVM,0.8695652173913043,0.8741038004661432,0.8695652173913043,0.8685117056856188
Votting,0.6695652173913044,0.6929977116704805,0.6695652173913044,0.6679642009565283
Bagging,0.7217391304347827,0.7215952588368839,0.7217391304347827,0.7216125427315913
